"id","status_group"
51847,"non functional"
55647,"non functional"
17923,"functional needs repair"
71743,"non functional"
51539,"functional needs repair"
73819,"functional needs repair"
66881,"functional needs repair"
58768,"functional needs repair"
2648,"functional needs repair"
68933,"functional needs repair"
12427,"functional needs repair"
16633,"functional needs repair"
24123,"functional"
58551,"non functional"
17132,"functional needs repair"
3027,"functional needs repair"
2651,"non functional"
25998,"non functional"
63400,"functional needs repair"
50028,"non functional"
67897,"non functional"
21425,"functional needs repair"
71756,"functional needs repair"
16862,"functional needs repair"
15420,"non functional"
47784,"functional needs repair"
712,"non functional"
54368,"functional needs repair"
2866,"functional needs repair"
51130,"functional needs repair"
27993,"functional needs repair"
21621,"functional needs repair"
66038,"functional needs repair"
42182,"functional needs repair"
17694,"non functional"
57759,"functional"
47978,"functional"
52359,"non functional"
69656,"non functional"
24086,"functional needs repair"
43579,"functional needs repair"
43284,"functional needs repair"
2877,"non functional"
21171,"non functional"
40982,"functional needs repair"
48396,"functional needs repair"
13323,"non functional"
28467,"functional"
2768,"functional needs repair"
73593,"functional needs repair"
65164,"functional needs repair"
69976,"functional needs repair"
52145,"non functional"
49259,"functional needs repair"
23542,"functional needs repair"
69848,"functional needs repair"
9305,"functional"
14359,"functional needs repair"
28925,"non functional"
21243,"non functional"
10616,"non functional"
73667,"functional needs repair"
20566,"functional needs repair"
63711,"functional needs repair"
72840,"non functional"
31651,"functional needs repair"
3782,"functional needs repair"
6799,"functional needs repair"
21402,"functional needs repair"
35390,"functional needs repair"
12636,"functional needs repair"
36887,"functional needs repair"
20086,"functional needs repair"
5634,"functional needs repair"
48029,"functional needs repair"
29927,"non functional"
2930,"functional needs repair"
41800,"functional needs repair"
68349,"functional"
61678,"non functional"
30270,"functional"
4678,"functional needs repair"
9392,"non functional"
20735,"functional"
49300,"functional needs repair"
70339,"functional needs repair"
25572,"functional needs repair"
61445,"functional needs repair"
32190,"functional"
39189,"functional needs repair"
14853,"functional needs repair"
52207,"non functional"
48035,"functional needs repair"
73122,"functional needs repair"
16352,"functional needs repair"
42721,"functional"
15116,"functional needs repair"
7837,"functional needs repair"
56907,"functional needs repair"
46382,"functional needs repair"
64521,"functional needs repair"
67362,"functional needs repair"
61861,"functional"
72139,"functional"
3398,"functional needs repair"
62911,"functional needs repair"
48152,"functional needs repair"
48001,"functional"
64118,"functional needs repair"
65793,"functional"
61557,"functional needs repair"
32352,"functional needs repair"
1830,"functional needs repair"
50553,"non functional"
51961,"non functional"
38481,"functional needs repair"
48371,"functional"
56540,"functional needs repair"
18142,"functional needs repair"
72934,"functional needs repair"
39300,"functional needs repair"
40115,"non functional"
3793,"functional needs repair"
59318,"functional needs repair"
68070,"non functional"
67527,"non functional"
34898,"functional needs repair"
26592,"functional needs repair"
67682,"functional needs repair"
52394,"functional needs repair"
32218,"functional needs repair"
69045,"functional needs repair"
12808,"functional needs repair"
49250,"functional needs repair"
64126,"functional needs repair"
64903,"functional needs repair"
35165,"functional needs repair"
9543,"functional needs repair"
64635,"functional needs repair"
47929,"functional"
28329,"non functional"
67954,"functional needs repair"
16575,"non functional"
16612,"functional needs repair"
27003,"functional needs repair"
73324,"functional needs repair"
7043,"functional needs repair"
22174,"functional needs repair"
19450,"functional needs repair"
35825,"functional needs repair"
9854,"functional needs repair"
23254,"functional needs repair"
72170,"non functional"
61999,"functional needs repair"
70354,"non functional"
6877,"functional needs repair"
47323,"non functional"
48624,"non functional"
6148,"functional needs repair"
59698,"functional needs repair"
67268,"non functional"
59174,"non functional"
68916,"functional needs repair"
28358,"functional needs repair"
57453,"functional"
71952,"non functional"
1761,"functional needs repair"
15234,"functional needs repair"
60021,"functional needs repair"
22567,"functional needs repair"
17695,"functional needs repair"
19872,"functional needs repair"
22828,"non functional"
34896,"functional needs repair"
35570,"functional needs repair"
41325,"functional needs repair"
8831,"functional needs repair"
5345,"functional needs repair"
19379,"functional needs repair"
5514,"functional"
61654,"functional needs repair"
40482,"functional needs repair"
43123,"functional needs repair"
40492,"functional needs repair"
68733,"functional needs repair"
3952,"functional needs repair"
70288,"functional needs repair"
30085,"functional needs repair"
65837,"functional needs repair"
34752,"non functional"
2465,"functional needs repair"
11466,"functional needs repair"
22313,"functional needs repair"
30179,"non functional"
23505,"functional needs repair"
48424,"functional needs repair"
11150,"functional needs repair"
70368,"functional needs repair"
26935,"non functional"
5919,"functional needs repair"
2134,"functional needs repair"
16652,"functional needs repair"
59302,"non functional"
24210,"functional needs repair"
6211,"functional needs repair"
19743,"functional needs repair"
10760,"functional needs repair"
48104,"functional needs repair"
50171,"functional needs repair"
63137,"functional needs repair"
38301,"functional needs repair"
10948,"functional needs repair"
33232,"functional"
61415,"functional needs repair"
69131,"non functional"
73555,"functional needs repair"
46610,"functional needs repair"
20922,"functional needs repair"
55743,"functional needs repair"
19341,"functional needs repair"
9588,"functional needs repair"
3293,"functional needs repair"
55490,"functional needs repair"
67678,"functional needs repair"
36119,"non functional"
62775,"functional needs repair"
68162,"functional needs repair"
66128,"non functional"
12036,"functional needs repair"
15739,"functional needs repair"
57048,"functional needs repair"
15825,"non functional"
45590,"functional needs repair"
18055,"non functional"
34073,"functional needs repair"
14860,"non functional"
53713,"functional needs repair"
69327,"non functional"
60169,"functional needs repair"
26798,"functional needs repair"
37122,"non functional"
45156,"functional"
22874,"functional needs repair"
58774,"functional needs repair"
40092,"non functional"
17487,"functional"
35886,"functional needs repair"
49892,"functional needs repair"
66338,"non functional"
35481,"functional needs repair"
4135,"functional needs repair"
54191,"functional needs repair"
31349,"functional needs repair"
72271,"functional needs repair"
48863,"functional needs repair"
13758,"non functional"
33443,"non functional"
12003,"functional needs repair"
10845,"functional needs repair"
47,"functional needs repair"
70492,"functional"
11346,"functional needs repair"
20126,"functional needs repair"
51000,"functional needs repair"
64505,"non functional"
58329,"functional needs repair"
6311,"functional needs repair"
22286,"functional needs repair"
35013,"functional needs repair"
6274,"functional needs repair"
30904,"functional needs repair"
46606,"functional"
18461,"functional needs repair"
15256,"functional needs repair"
625,"functional needs repair"
42122,"functional needs repair"
18277,"functional needs repair"
68501,"functional needs repair"
8816,"functional needs repair"
62879,"functional needs repair"
18554,"functional needs repair"
27712,"functional needs repair"
46935,"non functional"
57804,"functional needs repair"
57711,"functional needs repair"
5516,"functional needs repair"
8305,"functional"
57410,"non functional"
51412,"non functional"
25863,"functional needs repair"
35994,"functional needs repair"
55279,"functional needs repair"
74102,"functional needs repair"
38277,"functional needs repair"
1998,"functional needs repair"
52056,"non functional"
63679,"functional needs repair"
71762,"non functional"
71432,"functional needs repair"
45592,"functional needs repair"
13663,"non functional"
62227,"non functional"
3730,"functional needs repair"
2451,"functional needs repair"
46418,"functional needs repair"
45996,"non functional"
60911,"functional needs repair"
46089,"functional needs repair"
65579,"functional needs repair"
40407,"non functional"
66663,"non functional"
26597,"non functional"
50540,"functional needs repair"
58133,"functional needs repair"
1493,"functional needs repair"
31503,"non functional"
17910,"functional needs repair"
19466,"functional"
38120,"non functional"
66553,"functional needs repair"
31696,"functional needs repair"
51318,"functional needs repair"
33584,"non functional"
48678,"functional needs repair"
36112,"functional needs repair"
6294,"functional needs repair"
40612,"non functional"
62793,"functional needs repair"
58090,"functional needs repair"
2532,"functional needs repair"
38865,"functional needs repair"
35462,"functional needs repair"
51709,"functional needs repair"
40624,"non functional"
41745,"functional needs repair"
42315,"functional needs repair"
38952,"functional needs repair"
45540,"non functional"
73833,"functional needs repair"
27771,"functional needs repair"
9336,"non functional"
12545,"functional"
54811,"functional needs repair"
48326,"functional needs repair"
31787,"functional needs repair"
61745,"non functional"
42091,"non functional"
43727,"functional needs repair"
46917,"non functional"
26718,"non functional"
3138,"functional needs repair"
72932,"functional needs repair"
25707,"non functional"
68580,"non functional"
25064,"non functional"
7624,"functional needs repair"
3830,"non functional"
13458,"functional needs repair"
57377,"functional needs repair"
37294,"functional needs repair"
39561,"functional"
23237,"functional needs repair"
72484,"non functional"
56490,"functional needs repair"
13706,"functional needs repair"
43035,"functional needs repair"
14084,"functional needs repair"
55875,"functional needs repair"
17299,"non functional"
1793,"functional needs repair"
70943,"functional needs repair"
65720,"functional needs repair"
49165,"functional"
18879,"functional needs repair"
3574,"non functional"
56735,"functional needs repair"
45481,"functional needs repair"
51772,"functional needs repair"
74095,"non functional"
54000,"functional needs repair"
34834,"functional needs repair"
50175,"functional needs repair"
35733,"non functional"
6808,"non functional"
27311,"functional needs repair"
73303,"functional needs repair"
70335,"functional needs repair"
2691,"functional"
12582,"functional needs repair"
49536,"non functional"
23715,"functional needs repair"
45445,"functional needs repair"
52609,"functional needs repair"
35087,"functional needs repair"
42767,"non functional"
24373,"functional needs repair"
32895,"non functional"
9328,"functional needs repair"
23275,"non functional"
20054,"non functional"
8378,"functional needs repair"
47432,"functional needs repair"
49863,"functional"
57828,"functional needs repair"
31169,"functional needs repair"
38382,"functional needs repair"
31205,"functional needs repair"
23528,"functional needs repair"
26507,"functional needs repair"
67091,"functional needs repair"
47734,"functional needs repair"
927,"functional needs repair"
48521,"functional needs repair"
16963,"functional needs repair"
48233,"functional needs repair"
58989,"functional needs repair"
2399,"functional needs repair"
23530,"functional needs repair"
46271,"functional needs repair"
71726,"functional needs repair"
23526,"functional needs repair"
49861,"non functional"
22619,"functional needs repair"
41264,"functional needs repair"
20623,"functional needs repair"
35694,"functional needs repair"
68210,"non functional"
13446,"functional needs repair"
11321,"functional needs repair"
56312,"functional needs repair"
19533,"functional needs repair"
7275,"functional needs repair"
48614,"functional needs repair"
65873,"functional needs repair"
9008,"functional"
36817,"functional needs repair"
25767,"functional needs repair"
38460,"functional needs repair"
16756,"functional needs repair"
13310,"functional needs repair"
36514,"functional"
57548,"functional needs repair"
2809,"functional"
70632,"functional"
17260,"functional"
27950,"functional needs repair"
40629,"functional needs repair"
64155,"functional"
50640,"functional needs repair"
67355,"functional needs repair"
32132,"non functional"
70868,"functional needs repair"
45823,"non functional"
19985,"functional needs repair"
61834,"non functional"
54171,"functional needs repair"
62763,"functional needs repair"
42408,"functional needs repair"
13151,"functional needs repair"
28311,"functional"
57775,"non functional"
37603,"non functional"
56357,"functional needs repair"
37845,"non functional"
57177,"functional needs repair"
12821,"functional needs repair"
8193,"functional needs repair"
49031,"functional needs repair"
14011,"functional needs repair"
33708,"functional needs repair"
68898,"non functional"
37198,"functional needs repair"
11151,"functional needs repair"
22264,"functional needs repair"
49694,"functional needs repair"
47318,"functional needs repair"
46108,"non functional"
28297,"functional needs repair"
36340,"functional needs repair"
26987,"non functional"
5766,"functional needs repair"
25979,"functional needs repair"
73021,"functional needs repair"
11908,"functional needs repair"
47496,"functional needs repair"
61777,"functional needs repair"
47591,"functional"
8968,"functional needs repair"
45656,"functional needs repair"
39630,"functional"
2786,"functional needs repair"
958,"functional needs repair"
55843,"non functional"
52074,"functional needs repair"
23422,"functional"
55802,"functional needs repair"
61634,"functional needs repair"
1625,"functional"
37398,"functional needs repair"
51011,"functional needs repair"
49595,"non functional"
22486,"functional needs repair"
22916,"functional needs repair"
45204,"non functional"
74223,"functional"
35533,"non functional"
30595,"functional"
47319,"non functional"
32555,"functional needs repair"
9520,"functional needs repair"
53253,"non functional"
36436,"functional"
15036,"functional needs repair"
23175,"functional"
41998,"functional"
19345,"functional needs repair"
1198,"functional needs repair"
39848,"functional needs repair"
39278,"functional needs repair"
39844,"functional needs repair"
17332,"non functional"
51287,"functional needs repair"
49514,"non functional"
64288,"non functional"
41782,"functional needs repair"
54572,"functional needs repair"
68079,"functional needs repair"
68017,"functional needs repair"
66705,"functional needs repair"
5274,"functional needs repair"
58230,"non functional"
51010,"functional needs repair"
46242,"functional needs repair"
1917,"functional needs repair"
9361,"functional needs repair"
33043,"functional needs repair"
56633,"functional needs repair"
57518,"functional needs repair"
51128,"functional needs repair"
4388,"functional needs repair"
62267,"functional needs repair"
72473,"non functional"
70957,"non functional"
35399,"functional"
33236,"functional needs repair"
73183,"functional needs repair"
52939,"functional needs repair"
66929,"non functional"
54326,"functional needs repair"
16343,"functional needs repair"
33013,"functional needs repair"
60384,"non functional"
41074,"functional needs repair"
71997,"functional needs repair"
35190,"functional needs repair"
3425,"functional needs repair"
4335,"functional needs repair"
7399,"functional needs repair"
46431,"functional needs repair"
40845,"functional needs repair"
27347,"functional needs repair"
10981,"non functional"
36447,"functional needs repair"
67485,"functional needs repair"
11220,"functional needs repair"
45857,"functional needs repair"
21806,"non functional"
8771,"non functional"
45535,"functional needs repair"
8671,"functional needs repair"
2252,"non functional"
58078,"functional needs repair"
61068,"non functional"
69204,"functional needs repair"
28326,"functional needs repair"
46930,"functional needs repair"
52104,"functional needs repair"
31732,"functional needs repair"
21584,"functional"
17045,"functional"
14404,"functional needs repair"
34699,"non functional"
39930,"non functional"
38744,"functional needs repair"
4339,"functional needs repair"
54735,"functional needs repair"
51916,"non functional"
58114,"functional needs repair"
28339,"functional needs repair"
52048,"non functional"
66497,"functional needs repair"
18353,"functional needs repair"
16701,"functional needs repair"
59499,"non functional"
66042,"non functional"
43965,"functional needs repair"
48361,"functional needs repair"
70766,"functional needs repair"
9510,"non functional"
28586,"non functional"
28521,"functional needs repair"
18050,"functional"
73151,"non functional"
45011,"functional needs repair"
64380,"functional needs repair"
66896,"functional needs repair"
40184,"functional"
67207,"functional needs repair"
70178,"functional needs repair"
54063,"functional needs repair"
39252,"non functional"
53773,"functional needs repair"
47931,"functional needs repair"
44168,"non functional"
66540,"non functional"
54089,"functional needs repair"
29244,"functional"
27525,"non functional"
58991,"functional needs repair"
18087,"functional needs repair"
67803,"functional needs repair"
48006,"functional"
11788,"functional needs repair"
16100,"functional needs repair"
16382,"functional needs repair"
21208,"non functional"
8637,"functional needs repair"
67008,"non functional"
67914,"functional needs repair"
7041,"functional needs repair"
43181,"non functional"
26191,"functional"
14766,"functional needs repair"
49812,"functional"
12705,"functional"
25422,"non functional"
9399,"functional needs repair"
4239,"functional needs repair"
49442,"functional needs repair"
32,"functional needs repair"
11443,"functional needs repair"
15492,"functional needs repair"
63498,"functional needs repair"
12708,"non functional"
19483,"functional needs repair"
31204,"functional needs repair"
33445,"functional needs repair"
40820,"functional needs repair"
10279,"non functional"
46718,"functional needs repair"
39000,"functional needs repair"
45897,"functional needs repair"
62154,"functional needs repair"
50034,"functional needs repair"
11853,"functional needs repair"
40426,"functional needs repair"
41168,"functional needs repair"
58978,"functional needs repair"
31363,"functional needs repair"
32736,"functional needs repair"
29058,"functional"
23824,"functional needs repair"
61885,"non functional"
59187,"non functional"
73243,"functional needs repair"
62915,"functional needs repair"
1784,"non functional"
65951,"functional needs repair"
20661,"functional needs repair"
55504,"functional needs repair"
66975,"functional needs repair"
72057,"functional"
49331,"functional needs repair"
52682,"functional needs repair"
37859,"functional needs repair"
10460,"functional needs repair"
12407,"functional"
69993,"functional needs repair"
13012,"functional needs repair"
70896,"functional needs repair"
13264,"functional needs repair"
51824,"functional needs repair"
60216,"non functional"
57481,"non functional"
3996,"functional needs repair"
24854,"functional needs repair"
43420,"functional needs repair"
70468,"functional needs repair"
38305,"functional needs repair"
57179,"functional needs repair"
70388,"functional needs repair"
67589,"functional"
69974,"functional"
8854,"functional"
71663,"functional needs repair"
69272,"functional"
49119,"functional needs repair"
15638,"functional needs repair"
9086,"functional needs repair"
56422,"functional"
39106,"functional"
4515,"functional needs repair"
48594,"functional needs repair"
63779,"functional"
60740,"functional needs repair"
61242,"non functional"
65001,"functional"
2601,"functional needs repair"
52456,"functional needs repair"
21873,"non functional"
25505,"functional needs repair"
21890,"functional needs repair"
52336,"functional needs repair"
57756,"functional needs repair"
45465,"functional needs repair"
4989,"functional needs repair"
51585,"functional needs repair"
50533,"functional needs repair"
54866,"non functional"
23793,"functional needs repair"
50135,"non functional"
26549,"functional needs repair"
66920,"functional needs repair"
35517,"functional needs repair"
390,"non functional"
13645,"functional"
39327,"functional needs repair"
58900,"functional needs repair"
2100,"functional needs repair"
31521,"functional needs repair"
277,"functional needs repair"
33937,"functional needs repair"
42545,"functional needs repair"
7614,"functional needs repair"
46861,"functional"
35278,"non functional"
71773,"functional"
52392,"functional needs repair"
47229,"functional needs repair"
10716,"non functional"
13923,"functional needs repair"
42206,"functional needs repair"
965,"functional"
66646,"functional needs repair"
17301,"non functional"
21533,"functional needs repair"
37797,"functional needs repair"
19241,"non functional"
15296,"functional needs repair"
41472,"functional needs repair"
73859,"functional needs repair"
20153,"functional needs repair"
71684,"functional needs repair"
8321,"functional needs repair"
68979,"functional"
48850,"functional needs repair"
64251,"functional needs repair"
3583,"functional needs repair"
33326,"functional needs repair"
8500,"non functional"
67047,"functional needs repair"
24896,"functional needs repair"
39527,"functional needs repair"
3089,"functional needs repair"
66477,"functional needs repair"
24107,"functional"
7823,"functional needs repair"
32016,"functional needs repair"
35048,"functional needs repair"
70580,"non functional"
47503,"functional needs repair"
37357,"functional needs repair"
1195,"non functional"
52309,"non functional"
19655,"functional needs repair"
39455,"functional needs repair"
52757,"non functional"
62729,"non functional"
24324,"functional needs repair"
51298,"functional needs repair"
17127,"functional needs repair"
28152,"functional"
14259,"functional needs repair"
47461,"functional"
65878,"functional"
58913,"functional needs repair"
70035,"non functional"
37446,"non functional"
30337,"non functional"
57584,"functional needs repair"
67193,"non functional"
62103,"functional needs repair"
22896,"functional needs repair"
5934,"non functional"
61722,"functional needs repair"
9299,"functional needs repair"
68558,"functional needs repair"
51165,"functional needs repair"
8657,"functional needs repair"
54952,"functional"
53160,"functional needs repair"
17393,"non functional"
33016,"functional needs repair"
25929,"non functional"
41102,"functional needs repair"
11093,"non functional"
52744,"functional needs repair"
23484,"functional needs repair"
13139,"functional needs repair"
55439,"functional needs repair"
41539,"non functional"
47692,"functional needs repair"
60165,"functional needs repair"
64683,"non functional"
7089,"functional needs repair"
13516,"functional needs repair"
47720,"functional needs repair"
22588,"non functional"
28580,"functional needs repair"
9075,"functional needs repair"
25066,"non functional"
28284,"functional needs repair"
67568,"functional needs repair"
64823,"non functional"
8243,"functional needs repair"
2556,"functional needs repair"
58746,"non functional"
18288,"functional"
72822,"functional needs repair"
5178,"functional needs repair"
66294,"functional needs repair"
14451,"functional needs repair"
48600,"functional needs repair"
27513,"functional needs repair"
36889,"functional needs repair"
663,"functional needs repair"
10646,"functional needs repair"
35103,"functional needs repair"
50804,"functional needs repair"
29635,"functional"
47604,"functional needs repair"
49844,"non functional"
69068,"functional needs repair"
43074,"functional needs repair"
71088,"functional needs repair"
40470,"functional needs repair"
21920,"functional needs repair"
51415,"functional needs repair"
15480,"non functional"
21881,"functional needs repair"
7780,"functional needs repair"
24908,"functional needs repair"
53915,"functional needs repair"
54560,"functional needs repair"
15498,"functional needs repair"
20446,"functional"
5886,"functional needs repair"
52883,"functional needs repair"
30892,"functional needs repair"
37432,"functional needs repair"
42574,"functional needs repair"
61505,"functional needs repair"
44827,"functional needs repair"
5951,"non functional"
48991,"functional needs repair"
22821,"functional needs repair"
46478,"functional needs repair"
19831,"functional needs repair"
49317,"functional needs repair"
18472,"non functional"
58686,"functional needs repair"
47419,"functional needs repair"
44921,"functional"
55024,"non functional"
28971,"non functional"
8108,"functional needs repair"
32182,"functional needs repair"
40513,"functional needs repair"
372,"functional"
49297,"functional needs repair"
24407,"non functional"
44874,"functional needs repair"
25119,"non functional"
3882,"functional needs repair"
73443,"functional needs repair"
56056,"functional needs repair"
22035,"functional needs repair"
46318,"functional needs repair"
20802,"functional needs repair"
41941,"non functional"
12044,"functional needs repair"
47262,"functional needs repair"
19337,"functional needs repair"
38688,"functional needs repair"
45341,"functional needs repair"
55661,"functional needs repair"
32322,"functional needs repair"
41912,"functional needs repair"
26136,"non functional"
13480,"functional needs repair"
62035,"functional needs repair"
50343,"functional needs repair"
68537,"functional needs repair"
52293,"functional needs repair"
17764,"functional needs repair"
67862,"functional needs repair"
38933,"functional needs repair"
68514,"non functional"
65335,"functional"
27469,"functional needs repair"
31290,"functional needs repair"
72594,"functional needs repair"
2854,"functional needs repair"
19679,"non functional"
46470,"functional needs repair"
9931,"non functional"
39214,"functional needs repair"
3982,"functional needs repair"
29633,"functional needs repair"
50872,"functional needs repair"
31969,"functional needs repair"
51280,"non functional"
63438,"functional needs repair"
52302,"non functional"
44486,"non functional"
4641,"functional needs repair"
47724,"functional needs repair"
4393,"functional needs repair"
54938,"functional needs repair"
66983,"functional needs repair"
55870,"non functional"
62561,"functional needs repair"
7975,"functional"
9418,"functional needs repair"
4929,"functional"
68311,"non functional"
15225,"functional needs repair"
51854,"non functional"
40247,"functional needs repair"
37958,"functional needs repair"
19319,"functional needs repair"
27495,"functional needs repair"
20111,"functional"
33231,"functional needs repair"
44772,"functional needs repair"
53237,"functional needs repair"
23279,"functional needs repair"
66738,"functional needs repair"
73053,"functional"
31190,"functional needs repair"
54820,"functional needs repair"
54173,"functional needs repair"
40904,"functional needs repair"
43729,"functional needs repair"
63132,"functional needs repair"
65274,"functional needs repair"
2012,"non functional"
70647,"functional needs repair"
6067,"functional needs repair"
47835,"non functional"
14510,"functional needs repair"
34536,"functional needs repair"
50168,"non functional"
65018,"functional needs repair"
4960,"functional needs repair"
19291,"non functional"
11480,"non functional"
74179,"functional needs repair"
46276,"functional needs repair"
69469,"functional needs repair"
51844,"functional needs repair"
13340,"non functional"
34046,"functional needs repair"
72429,"non functional"
60034,"functional needs repair"
36173,"functional needs repair"
66575,"functional needs repair"
33778,"non functional"
52807,"functional needs repair"
37283,"functional needs repair"
53688,"functional needs repair"
54777,"non functional"
10363,"non functional"
42685,"non functional"
29334,"functional needs repair"
17320,"functional needs repair"
7060,"functional needs repair"
3905,"non functional"
14607,"functional needs repair"
59091,"functional"
44927,"functional needs repair"
59415,"non functional"
59722,"functional needs repair"
49411,"functional needs repair"
40903,"functional needs repair"
64786,"functional needs repair"
36207,"functional needs repair"
61178,"functional needs repair"
55377,"functional needs repair"
34300,"functional needs repair"
29483,"functional needs repair"
58576,"non functional"
37659,"functional needs repair"
63873,"functional needs repair"
55723,"functional needs repair"
9950,"functional needs repair"
49680,"functional needs repair"
30329,"non functional"
64912,"functional needs repair"
21165,"functional needs repair"
42112,"functional"
25108,"functional needs repair"
55021,"functional needs repair"
14319,"functional"
23587,"functional needs repair"
27217,"functional needs repair"
62333,"functional needs repair"
3284,"functional needs repair"
38299,"functional"
35668,"non functional"
10228,"functional"
67801,"non functional"
63324,"functional"
33451,"functional needs repair"
46306,"functional needs repair"
37149,"functional"
29770,"non functional"
14731,"functional"
7963,"functional needs repair"
55945,"non functional"
7645,"functional needs repair"
7244,"functional needs repair"
40114,"functional"
37615,"functional"
54151,"functional needs repair"
64712,"functional needs repair"
40499,"non functional"
71171,"non functional"
20712,"functional needs repair"
20187,"functional needs repair"
12383,"functional needs repair"
33364,"functional needs repair"
9646,"functional needs repair"
12201,"functional needs repair"
1782,"non functional"
42747,"functional needs repair"
12125,"functional needs repair"
53260,"functional"
55023,"functional needs repair"
7865,"functional needs repair"
66269,"non functional"
45049,"functional needs repair"
4988,"non functional"
17387,"non functional"
41771,"functional needs repair"
44806,"functional needs repair"
9157,"functional needs repair"
70881,"functional needs repair"
59951,"functional needs repair"
47581,"non functional"
14986,"functional"
71499,"non functional"
32928,"functional needs repair"
11934,"functional needs repair"
54065,"functional"
25479,"functional"
38302,"functional needs repair"
32973,"functional needs repair"
52140,"functional needs repair"
51060,"functional needs repair"
33106,"functional needs repair"
55127,"functional needs repair"
8640,"functional needs repair"
43117,"non functional"
9966,"functional needs repair"
11183,"non functional"
72250,"functional needs repair"
50586,"functional needs repair"
48093,"non functional"
37435,"functional needs repair"
9379,"functional needs repair"
65657,"non functional"
34535,"functional needs repair"
26262,"functional needs repair"
14458,"functional needs repair"
33972,"functional needs repair"
40238,"non functional"
70610,"non functional"
47960,"functional needs repair"
71481,"functional needs repair"
10946,"functional needs repair"
68239,"functional needs repair"
56314,"functional needs repair"
20772,"functional needs repair"
41027,"functional needs repair"
57639,"functional needs repair"
42841,"non functional"
8016,"non functional"
38349,"non functional"
68114,"non functional"
53733,"functional needs repair"
53513,"functional"
50420,"functional needs repair"
31043,"non functional"
11436,"functional needs repair"
66544,"non functional"
66297,"functional needs repair"
9975,"functional needs repair"
21663,"functional needs repair"
66747,"functional needs repair"
8343,"non functional"
43675,"functional needs repair"
12325,"functional needs repair"
27609,"functional needs repair"
70092,"functional needs repair"
4092,"non functional"
60469,"functional needs repair"
15869,"functional"
31689,"non functional"
40197,"non functional"
35039,"non functional"
19866,"functional needs repair"
65864,"functional needs repair"
54111,"functional needs repair"
65616,"functional needs repair"
